City_Code,City_Name,State_Code
C1,Henderson,S1
C2,Los Angeles,S2
C3,Fort Lauderdale,S3
C4,Concord,S4
C5,Seattle,S5
C6,Fort Worth,S6
C7,Madison,S7
C8,West Jordan,S8
C9,San Francisco,S2
C10,Fremont,S9
C11,Philadelphia,S10
C12,Orem,S8
C13,Houston,S6
C14,Richardson,S6
C15,Naperville,S11
C16,Melbourne,S3
C17,Eagan,S12
C18,Westland,S13
C19,Dover,S14
C20,New Albany,S15
C21,New York City,S16
C22,Troy,S16
C23,Chicago,S11
C24,Gilbert,S17
C25,Springfield,S18
C26,Jackson,S13
C27,Memphis,S19
C28,Decatur,S20
C29,Durham,S4
C30,Columbia,S21
C31,Rochester,S12
C32,Minneapolis,S12
C33,Portland,S22
C34,Saint Paul,S12
C35,Aurora,S23
C36,Charlotte,S4
C37,Orland Park,S11
C38,Urbandale,S24
C39,Columbus,S25
C40,Bristol,S19
C41,Wilmington,S14
C42,Bloomington,S11
C43,Phoenix,S17
C44,Roseville,S2
C45,Independence,S26
C46,Pasadena,S2
C47,Newark,S25
C48,Franklin,S7
C49,Scottsdale,S17
C50,San Jose,S2
C51,Edmond,S27
C52,Carlsbad,S28
C53,San Antonio,S6
C54,Monroe,S29
C55,Fairfield,S30
C56,Grand Prairie,S6
C57,Redlands,S2
C58,Hamilton,S25
C59,Westfield,S31
C60,Akron,S25
C61,Denver,S23
C62,Dallas,S6
C63,Whittier,S2
C64,Saginaw,S13
C65,Medina,S25
C66,Dublin,S25
C67,Detroit,S13
C68,Tampa,S3
C69,Santa Clara,S2
C70,Lakeville,S12
C71,San Diego,S2
C72,Brentwood,S2
C73,Chapel Hill,S4
C74,Morristown,S31
C75,Cincinnati,S25
C76,Inglewood,S2
C77,Tamarac,S3
C78,Colorado Springs,S23
C79,Belleville,S31
C80,Taylor,S13
C81,Lakewood,S31
C82,Arlington,S18
C83,Arvada,S23
C84,Hackensack,S31
C85,Saint Petersburg,S3
C86,Long Beach,S2
C87,Hesperia,S2
C88,Murfreesboro,S19
C89,Layton,S8
C90,Austin,S6
C91,Lowell,S32
C92,Manchester,S30
C93,Harlingen,S6
C94,Tucson,S17
C95,Quincy,S11
C96,Pembroke Pines,S3
C97,Des Moines,S5
C98,Peoria,S11
C99,Las Vegas,S34
C100,Warwick,S35
C101,Miami,S3
C102,Huntington Beach,S2
C103,Richmond,S1
C104,Louisville,S23
C105,Lawrence,S32
C106,Canton,S13
C107,New Rochelle,S16
C108,Gastonia,S4
