Customer_id,age,job,marital,education,default,housing,loan,Region_Code,State_Code,City_Code
1,56,services,married,high.school,no,no,yes,3,S1,C1
2,45,services,married,basic.9y,unknown,no,no,3,S1,C1
3,59,admin.,married,professional.course,no,no,no,4,S2,C2
4,41,blue-collar,married,unknown,unknown,no,no,3,S3,C3
5,24,technician,single,professional.course,no,yes,no,3,S3,C3
6,25,services,single,high.school,no,yes,no,4,S2,C2
7,41,blue-collar,married,unknown,unknown,no,no,4,S2,C2
8,25,services,single,high.school,no,yes,no,4,S2,C2
9,29,blue-collar,single,high.school,no,no,yes,4,S2,C2
10,57,housemaid,divorced,basic.4y,no,yes,no,Na,S2,C2
11,35,blue-collar,married,basic.6y,no,yes,no,4,S2,C2
12,54,retired,married,basic.9y,unknown,yes,yes,4,S2,C2
13,35,blue-collar,married,basic.6y,no,yes,no,3,S4,C4
14,46,blue-collar,married,basic.6y,unknown,yes,yes,4,S5,C5
15,50,blue-collar,married,basic.9y,no,yes,yes,1,S6,C6
16,39,management,single,basic.9y,unknown,no,no,1,S6,C6
17,55,blue-collar,married,basic.4y,unknown,yes,no,1,S7,C7
18,55,retired,single,high.school,no,yes,no,4,S8,C8
19,41,technician,single,high.school,no,yes,no,4,S2,C9
20,37,admin.,married,high.school,no,yes,no,4,S2,C9
21,35,technician,married,university.degree,no,no,yes,4,S2,C9
22,59,technician,married,unknown,no,yes,no,1,S9,C10
23,54,technician,single,university.degree,unknown,no,no,1,S9,C10
24,55,unknown,married,university.degree,unknown,unknown,unknown,2,S10,C11
25,46,admin.,married,unknown,no,no,no,4,S8,C12
26,49,blue-collar,married,unknown,no,no,no,4,S2,C2
27,54,management,married,basic.4y,unknown,yes,no,4,S2,C2
28,54,blue-collar,divorced,basic.4y,no,no,no,2,S10,C11
29,55,unknown,married,basic.4y,unknown,yes,no,2,S10,C11
30,34,services,married,high.school,no,no,no,2,S10,C11
31,52,technician,married,basic.9y,no,yes,no,2,S10,C11
32,41,admin.,married,university.degree,no,yes,no,2,S10,C11
33,56,technician,married,basic.4y,no,yes,no,2,S10,C11
34,58,management,unknown,university.degree,no,yes,no,2,S10,C11
35,32,entrepreneur,married,high.school,no,yes,no,1,S6,C13
36,38,admin.,single,professional.course,no,no,no,1,S6,C14
37,57,admin.,married,university.degree,no,no,yes,1,S6,C14
38,44,admin.,married,university.degree,unknown,yes,no,1,S6,C13
39,42,technician,single,professional.course,unknown,no,no,1,S6,C13
40,57,admin.,married,university.degree,no,yes,yes,1,S6,C13
41,40,blue-collar,married,basic.9y,no,no,yes,1,S6,C13
42,35,admin.,married,university.degree,no,yes,no,1,S11,C15
43,45,blue-collar,married,basic.9y,no,yes,no,4,S2,C2
44,54,admin.,married,high.school,no,no,no,3,S3,C16
45,39,housemaid,married,basic.4y,no,no,yes,1,S12,C17
46,60,admin.,married,high.school,no,no,no,1,S12,C17
47,53,admin.,single,professional.course,no,no,no,1,S13,C18
48,55,blue-collar,married,basic.4y,unknown,no,no,2,S14,C19
49,55,technician,married,professional.course,unknown,yes,no,2,S14,C19
50,50,management,married,university.degree,unknown,no,yes,1,S15,C20
51,45,services,married,high.school,unknown,yes,no,1,S15,C20
52,55,unemployed,married,professional.course,unknown,yes,yes,1,S15,C20
53,25,technician,single,university.degree,no,yes,no,1,S15,C20
54,47,entrepreneur,married,university.degree,unknown,no,no,2,S16,C21
55,51,blue-collar,married,basic.9y,no,yes,no,2,S16,C21
56,42,blue-collar,married,basic.6y,unknown,yes,no,Na,S16,C22
57,42,blue-collar,married,basic.6y,unknown,no,no,2,S16,C22
58,48,admin.,married,high.school,no,no,no,2,S16,C22
59,37,admin.,married,university.degree,no,no,no,2,S16,C22
60,44,blue-collar,single,basic.9y,no,yes,no,2,S16,C22
61,33,admin.,married,unknown,no,yes,no,2,S16,C22
62,56,admin.,married,basic.9y,no,yes,no,2,S16,C22
63,44,blue-collar,single,basic.4y,unknown,yes,yes,4,S2,C2
64,41,management,married,basic.6y,no,no,no,4,S2,C2
65,44,management,divorced,university.degree,no,yes,no,4,S2,C2
66,47,admin.,married,university.degree,unknown,yes,no,4,S2,C2
67,57,unknown,married,unknown,unknown,no,no,1,S11,C23
68,37,admin.,married,university.degree,unknown,yes,no,4,S17,C24
69,41,blue-collar,divorced,basic.4y,unknown,yes,no,4,S17,C24
70,55,technician,married,university.degree,no,no,no,3,S18,C25
71,33,services,married,high.school,unknown,yes,no,2,S16,C21
72,42,blue-collar,married,basic.9y,unknown,no,no,1,S13,C26
73,50,blue-collar,married,basic.4y,unknown,yes,no,3,S19,C27
74,51,blue-collar,married,basic.4y,unknown,unknown,unknown,3,S19,C27
75,38,admin.,married,high.school,unknown,no,no,3,S19,C27
76,49,entrepreneur,married,university.degree,unknown,yes,no,1,S6,C13
77,38,technician,single,university.degree,no,no,yes,1,S6,C13
78,31,admin.,divorced,high.school,no,no,no,1,S6,C13
79,41,management,married,basic.6y,no,no,no,1,S6,C13
80,49,technician,married,basic.9y,no,no,no,3,S20,C28
81,34,admin.,married,high.school,no,yes,no,3,S20,C28
82,35,admin.,married,university.degree,no,yes,no,4,S2,C9
83,57,unknown,married,unknown,unknown,yes,no,4,S2,C9
