Customer_id,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed
1,1.1,93.994,-36.4,4.857,5191
2,1.1,93.994,-36.4,4.857,5191
3,1.1,93.994,-36.4,4.857,5191
4,1.1,93.994,-36.4,4.857,5191
5,1.1,93.994,-36.4,4.857,5191
6,1.1,93.994,-36.4,4.857,5191
7,1.1,93.994,-36.4,4.857,5191
8,1.1,93.994,-36.4,4.857,5191
9,1.1,93.994,-36.4,4.857,5191
10,1.1,93.994,-36.4,4.857,5191
11,1.1,93.994,-36.4,4.857,5191
12,1.1,93.994,-36.4,4.857,5191
13,1.1,93.994,-36.4,4.857,5191
14,1.1,93.994,-36.4,4.857,5191
15,1.1,93.994,-36.4,4.857,5191
16,1.1,93.994,-36.4,4.857,5191
17,1.1,93.994,-36.4,4.857,5191
18,1.1,93.994,-36.4,4.857,5191
19,1.1,93.994,-36.4,4.857,5191
20,1.1,93.994,-36.4,4.857,5191
21,1.1,93.994,-36.4,4.857,5191
22,1.1,93.994,-36.4,4.857,5191
23,1.1,93.994,-36.4,4.857,5191
24,1.1,93.994,-36.4,4.857,5191
25,1.1,93.994,-36.4,4.857,5191
26,1.1,93.994,-36.4,4.857,5191
27,1.1,93.994,-36.4,4.857,5191
28,1.1,93.994,-36.4,4.857,5191
29,1.1,93.994,-36.4,4.857,5191
30,1.1,93.994,-36.4,4.857,5191
31,1.1,93.994,-36.4,4.857,5191
32,1.1,93.994,-36.4,4.857,5191
33,1.1,93.994,-36.4,4.857,5191
34,1.1,93.994,-36.4,4.857,5191
35,1.1,93.994,-36.4,4.857,5191
36,1.1,93.994,-36.4,4.857,5191
37,1.1,93.994,-36.4,4.857,5191
38,1.1,93.994,-36.4,4.857,5191
39,1.1,93.994,-36.4,4.857,5191
40,1.1,93.994,-36.4,4.857,5191
41,1.1,93.994,-36.4,4.857,5191
42,1.1,93.994,-36.4,4.857,5191
43,1.1,93.994,-36.4,4.857,5191
44,1.1,93.994,-36.4,4.857,5191
45,1.1,93.994,-36.4,4.857,5191
46,1.1,93.994,-36.4,4.857,5191
47,1.1,93.994,-36.4,4.857,5191
48,1.1,93.994,-36.4,4.857,5191
49,1.1,93.994,-36.4,4.857,5191
50,1.1,93.994,-36.4,4.857,5191
51,1.1,93.994,-36.4,4.857,5191
52,1.1,93.994,-36.4,4.857,5191
53,1.1,93.994,-36.4,4.857,5191
54,1.1,93.994,-36.4,4.857,5191
55,1.1,93.994,-36.4,4.857,5191
56,1.1,93.994,-36.4,4.857,5191
57,1.1,93.994,-36.4,4.857,5191
58,1.1,93.994,-36.4,4.857,5191
59,1.1,93.994,-36.4,4.857,5191
60,1.1,93.994,-36.4,4.857,5191
61,1.1,93.994,-36.4,4.857,5191
62,1.1,93.994,-36.4,4.857,5191
63,1.1,93.994,-36.4,4.857,5191
64,1.1,93.994,-36.4,4.857,5191
65,1.1,93.994,-36.4,4.857,5191
66,1.1,93.994,-36.4,4.857,5191
67,1.1,93.994,-36.4,4.857,5191
68,1.1,93.994,-36.4,4.857,5191
69,1.1,93.994,-36.4,4.857,5191
70,1.1,93.994,-36.4,4.857,5191
71,1.1,93.994,-36.4,4.857,5191
72,1.1,93.994,-36.4,4.857,5191
73,1.1,93.994,-36.4,4.857,5191
74,1.1,93.994,-36.4,4.857,5191
75,1.1,93.994,-36.4,4.857,5191
76,1.1,93.994,-36.4,4.857,5191
77,1.1,93.994,-36.4,4.857,5191
78,1.1,93.994,-36.4,4.857,5191
79,1.1,93.994,-36.4,4.857,5191
80,1.1,93.994,-36.4,4.857,5191
81,1.1,93.994,-36.4,4.857,5191
82,1.1,93.994,-36.4,4.857,5191
83,1.1,93.994,-36.4,4.857,5191
84,1.1,93.994,-36.4,4.857,5191
85,1.1,93.994,-36.4,4.857,5191
86,1.1,93.994,-36.4,4.857,5191
87,1.1,93.994,-36.4,4.857,5191
88,1.1,93.994,-36.4,4.857,5191
89,1.1,93.994,-36.4,4.857,5191
90,1.1,93.994,-36.4,4.857,5191
91,1.1,93.994,-36.4,4.857,5191
92,1.1,93.994,-36.4,4.857,5191
93,1.1,93.994,-36.4,4.857,5191
94,1.1,93.994,-36.4,4.857,5191
95,1.1,93.994,-36.4,4.857,5191
96,1.1,93.994,-36.4,4.857,5191
97,1.1,93.994,-36.4,4.857,5191
98,1.1,93.994,-36.4,4.857,5191
99,1.1,93.994,-36.4,4.857,5191
100,1.1,93.994,-36.4,4.857,5191
101,1.1,93.994,-36.4,4.857,5191
102,1.1,93.994,-36.4,4.857,5191
103,1.1,93.994,-36.4,4.857,5191
104,1.1,93.994,-36.4,4.857,5191
105,1.1,93.994,-36.4,4.857,5191
106,1.1,93.994,-36.4,4.857,5191
107,1.1,93.994,-36.4,4.857,5191
108,1.1,93.994,-36.4,4.857,5191
109,1.1,93.994,-36.4,4.857,5191
110,1.1,93.994,-36.4,4.857,5191
111,1.1,93.994,-36.4,4.857,5191
112,1.1,93.994,-36.4,4.857,5191
113,1.1,93.994,-36.4,4.857,5191
114,1.1,93.994,-36.4,4.857,5191
115,1.1,93.994,-36.4,4.857,5191
116,1.1,93.994,-36.4,4.857,5191
117,1.1,93.994,-36.4,4.857,5191
118,1.1,93.994,-36.4,4.857,5191
119,1.1,93.994,-36.4,4.857,5191
120,1.1,93.994,-36.4,4.857,5191
121,1.1,93.994,-36.4,4.857,5191
122,1.1,93.994,-36.4,4.857,5191
123,1.1,93.994,-36.4,4.857,5191
124,1.1,93.994,-36.4,4.857,5191
125,1.1,93.994,-36.4,4.857,5191
126,1.1,93.994,-36.4,4.857,5191
127,1.1,93.994,-36.4,4.857,5191
128,1.1,93.994,-36.4,4.857,5191
129,1.1,93.994,-36.4,4.857,5191
130,1.1,93.994,-36.4,4.857,5191
131,1.1,93.994,-36.4,4.857,5191
132,1.1,93.994,-36.4,4.857,5191
133,1.1,93.994,-36.4,4.857,5191
134,1.1,93.994,-36.4,4.857,5191
135,1.1,93.994,-36.4,4.857,5191
136,1.1,93.994,-36.4,4.857,5191
137,1.1,93.994,-36.4,4.857,5191
138,1.1,93.994,-36.4,4.857,5191
139,1.1,93.994,-36.4,4.857,5191
140,1.1,93.994,-36.4,4.857,5191
141,1.1,93.994,-36.4,4.857,5191
142,1.1,93.994,-36.4,4.857,5191
143,1.1,93.994,-36.4,4.857,5191
